Date,Description,Amount,Type,Category
2024-01-15,Grocery Shopping,-125.50,expense,Food
2024-01-15,Salary,5000.00,income,Salary
2024-01-16,Internet Bill,-59.99,expense,Bills
2024-01-17,Uber Ride,-25.00,expense,Transportation
2024-01-18,Freelance Work,500.00,income,Other Income
2024-01-19,Restaurant Dinner,-45.75,expense,Food
2024-01-20,Movie Tickets,-30.00,expense,Entertainment
2024-01-21,Gas Station,-40.00,expense,Transportation
2024-01-22,Book Purchase,-19.99,expense,Shopping
2024-01-23,Coffee Shop,-4.50,expense,Food
